日付,Unnamed: 1,Unnamed: 2
2023-01-01日,10km /50分 12.0km/h(4'59/km) 朝ジョッグ（愛知池1周+α）○34'55 Evoride 2.6km /16分 9.8km/h(6'07/km) 移動ジョッグ 6.5km /60分 6.5km/h(9'13/km) 昼下がりジョッグ（実家周辺） w/小太郎,19.1km /126分
週合計,,19.1km /2時間06分
2023-01-02月,7.4km /70分 6.3km/h(9'31/km) 朝ジョッグ（実家周辺）w/小太郎 Evoride 3.2km /21分 9.1km/h(6'36/km) 移動ジョッグ,10.6km /91分
2023-01-03火,11.3km /95分 7.1km/h(8'25/km) 朝ジョッグ（実家周辺）w/小太郎 Evoride 8.1km /65分 7.4km/h(8'05/km) 昼ジョッグ（内々神社初詣）w/小太郎 Evoride,19.4km /161分
2023-01-04水,35km /242分 8.7km/h(6'55/km) 昼下がりジョッグ（岩津天満宮への移動ジョッグ）Evoride,35km /242分
2023-01-05木,,
2023-01-06金,21km /115分 10.9km/h(5'29/km) 夕方ジョッグ（勅使池3周＋α）Evoride,21km /115分
2023-01-07土,,
2023-01-08日,,
週合計,,86km /10時間09分
2023-01-09月,1.7km /11分 9.6km/h(6'14/km) 通勤ジョッグ,1.7km /11分
2023-01-10火,1.9km /11分 10.7km/h(5'35/km) 通勤ジョッグ,1.9km /11分
2023-01-11水,5km /27分 11.0km/h(5'25/km) 夜ジョッグ（5㎞コース）Evoride 2km /11分 10.8km/h(5'33/km) 通勤ジョッグ,7km /38分
2023-01-12木,1.7km /12分 8.5km/h(7'03/km) 通勤ジョッグ,1.7km /12分
2023-01-13金,0.8km /5分 9.3km/h(6'27/km) 通勤ジョッグ,0.8km /5分
2023-01-14土,21.2km /124分 10.3km/h(5'51/km) 夕方ジョッグ（勅使池3周＋α）Evoride,21.2km /124分
2023-01-15日,,
週合計,,34.3km /3時間20分
2023-01-16月,1.8km /11分 10.0km/h(6'01/km) 通勤ジョッグ,1.8km /11分
2023-01-17火,2.1km /11分 11.1km/h(5'23/km) 通勤ジョッグ,2.1km /11分
2023-01-18水,12.5km /64分 11.7km/h(5'08/km) 朝ジョッグ（愛知池弾丸ラン）〇35'57 Evoride,12.5km /64分
2023-01-19木,1.9km /11分 10.3km/h(5'47/km) 通勤ジョッグ,1.9km /11分
2023-01-20金,2km /11分 10.6km/h(5'38/km) 通勤ジョッグ,2km /11分
2023-01-21土,29km /161分 10.8km/h(5'33/km) 夕方ジョッグ（勅使池6周＋α）Evoride,29km /161分
2023-01-22日,17.4km /100分 10.4km/h(5'46/km) 朝ジョッグ（自宅→野並　移動失敗ジョッグ）Evoride 18.5km /130分 8.6km/h(7'00/km) 昼ジョッグ（栄→自宅　移動成功ジョッグ）Evoride,35.9km /230分
週合計,,85.2km /8時間19分
2023-01-23月,1.1km /6分 11.6km/h(5'10/km) 通勤ジョッグ,1.1km /6分
2023-01-24火,1.5km /11分 8.0km/h(7'28/km) 通勤ジョッグ,1.5km /11分
2023-01-25水,1.7km /11分 9.4km/h(6'23/km) 昼休みジョッグ（郵便局への移動ジョッグ）,1.7km /11分
2023-01-26木,7.7km /40分 11.5km/h(5'14/km) 夜ジョッグ（赤池～浅田町平子～折戸）Evoride 1.8km /11分 9.9km/h(6'03/km) 通勤ジョッグ,9.5km /51分
2023-01-27金,1.7km /11分 9.1km/h(6'37/km) 通勤ジョッグ,1.7km /11分
2023-01-28土,17.5km /91分 11.6km/h(5'11/km) 夕方ジョッグ（洲原池弾丸ラン）Evoride,17.5km /91分
2023-01-29日,17.5km /97分 10.9km/h(5'31/km) 夕方ジョッグ（洲原池周辺探訪シリーズ「大池」）Evoride,17.5km /97分
週合計,,50.6km /4時間37分
2023-01-30月,2km /12分 9.7km/h(6'12/km) 通勤ジョッグ,2km /12分
2023-01-31火,2km /13分 9.5km/h(6'19/km) 通勤ジョッグ,2km /13分
週合計,,4km 25分
月合計,279.1km/28時間59分,279.1km/28時間59分
